# FACILITY: LCO
# DATE-OBS: 2024-11-23
wavelength flux
3.819044383149446276e+03 1.528065937499999941e-15
3.820767301905715158e+03 1.264845312499999891e-15
3.822490220661984040e+03 1.324493906249999841e-15
3.824213139418252922e+03 1.393025156249999962e-15
3.825936058174521349e+03 1.406239218749999893e-15
3.827658976930790232e+03 1.298774531249999973e-15
3.829381895687059114e+03 1.203662812500000005e-15
3.831104814443327996e+03 1.100897187499999916e-15
3.832827733199596878e+03 8.760420312499999618e-16
3.834550651955865760e+03 7.709900781249999179e-16
3.836273570712134642e+03 8.312610156249999376e-16
3.837996489468403070e+03 8.219057031249999632e-16
3.839719408224671952e+03 9.831662500000000435e-16
3.841442326980940834e+03 1.053126406249999874e-15
3.843165245737209716e+03 1.190032890624999906e-15
3.844888164493478143e+03 1.202391953124999944e-15
3.846611083249747026e+03 1.462188437499999888e-15
3.848334002006015908e+03 1.500111718749999921e-15
3.850056920762284790e+03 1.557227968749999836e-15
3.851779839518553672e+03 1.498711406249999994e-15
3.853502758274822554e+03 1.458180781250000018e-15
3.855225677031091436e+03 1.473779999999999860e-15
3.856948595787359864e+03 1.556859531249999906e-15
3.858671514543628746e+03 1.626253124999999978e-15
3.860394433299897628e+03 1.626563437499999921e-15
3.862117352056166510e+03 1.622024999999999965e-15
3.863840270812434937e+03 1.475798749999999869e-15
3.865563189568703820e+03 1.441041874999999902e-15
3.867286108324972702e+03 1.447628281249999932e-15
3.869009027081241584e+03 1.542105156250000010e-15
3.870731945837510466e+03 1.415524999999999863e-15
3.872454864593779348e+03 1.455373593749999965e-15
3.874177783350048230e+03 1.651593906249999969e-15
3.875900702106316658e+03 1.596097656249999872e-15
3.877623620862585540e+03 1.573267656249999854e-15
3.879346539618854422e+03 1.372203593749999838e-15
3.881069458375123304e+03 1.317035156249999885e-15
3.882792377131391731e+03 1.317637656249999879e-15
3.884515295887660614e+03 1.197344609374999906e-15
3.886238214643929496e+03 9.695137499999999662e-16
3.887961133400198378e+03 7.854914843749999989e-16
3.889684052156467260e+03 7.308577343749999225e-16
3.891406970912736142e+03 1.075792734374999876e-15
3.893129889669005024e+03 1.053119218749999985e-15
3.894852808425273452e+03 1.314559062499999978e-15
3.896575727181542334e+03 1.353871718749999935e-15
3.898298645937811216e+03 1.225713671874999982e-15
3.900021564694080098e+03 1.501247499999999946e-15
3.901744483450348525e+03 1.616494218749999994e-15
3.903467402206617408e+03 1.588978593749999895e-15
3.905190320962886290e+03 1.627390156249999975e-15
3.906913239719155172e+03 1.628431249999999890e-15
3.908636158475424054e+03 1.682106718749999835e-15
3.910359077231692936e+03 1.851597656249999783e-15
3.912081995987961818e+03 1.721185937499999814e-15
3.913804914744230246e+03 1.757426562499999872e-15
3.915527833500499128e+03 1.583402343749999827e-15
3.917250752256768010e+03 1.596709218750000008e-15
3.918973671013036892e+03 1.693882031249999856e-15
3.920696589769305319e+03 1.731413124999999896e-15
3.922419508525574201e+03 1.769467187499999852e-15
3.924142427281843084e+03 1.655011406249999990e-15
3.925865346038111966e+03 1.690632968749999881e-15
3.927588264794380848e+03 1.654223750000000003e-15
3.929311183550649730e+03 1.559640624999999924e-15
3.931034102306918612e+03 1.503633749999999857e-15
3.932757021063187040e+03 1.543951093749999973e-15
3.934479939819455922e+03 1.522593906249999845e-15
3.936202858575724804e+03 1.530951874999999818e-15
